word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
<pad>,0,23,6,13
<unk>,1,9,23,1
<s>,2,3,30,2
</s>,2,26,2,2
@,6,28,6,26
.,3,25,19,19
",",2,20,13,30
the,0,16,26,17
(,2,31,3,30
),2,9,3,14
of,22,25,26,25
in,3,27,19,19
to,3,27,14,14
and,2,25,26,25
a,22,27,14,21
@-@,2,9,7,14
@.@,3,17,18,21
"""",13,25,14,26
on,3,27,19,21
-,2,5,14,26
said,9,5,9,7
@-@-@,4,20,30,30
's,2,25,26,7
for,3,21,26,19
The,0,19,30,22
@.,5,5,13,14
was,2,21,12,11
:,10,21,19,26
at,3,26,3,3
is,2,27,30,25
with,3,25,18,26
"@,@",6,19,14,17
from,2,27,26,26
that,13,25,14,21
not,14,27,14,21
by,3,21,19,26
he,15,25,14,19
were,22,6,6,21
has,2,25,18,7
it,22,16,6,21
had,13,5,14,12
beat,5,5,30,14
have,14,27,19,21
be,14,21,14,12
U.S.,18,19,8,23
an,15,16,18,19
as,13,27,13,21
--,5,5,9,26
.@,7,27,19,14
after,13,16,13,12
his,13,21,7,14
$,10,6,6,17
first,3,27,14,14
will,23,27,14,14
@th,8,5,14,7
but,12,21,13,14
been,22,27,14,12
are,14,27,14,25
/,2,25,30,4
I,13,21,14,21
their,23,27,14,21
up,4,27,19,4
who,13,27,14,14
two,15,27,14,21
out,8,27,14,14
@:@.@,9,5,13,26
million,15,27,19,19
they,14,27,14,21
percent,10,27,14,25
this,13,27,6,21
He,2,25,14,21
year,2,31,27,12
It,15,27,19,25
would,22,16,18,12
Thursday,2,27,18,25
Wednesday,0,25,21,22
@/@,10,26,30,30
its,22,16,18,21
one,26,27,14,25
last,2,27,14,11
against,13,17,19,26
which,15,21,18,21
second,2,27,18,8
also,22,25,14,12
Tuesday,10,25,14,14
government,14,27,14,21
over,2,5,14,19
police,19,27,19,12
SOCCER,5,26,26,26
AT,3,26,18,3
Germany,11,30,12,12
won,2,17,14,17
Australia,20,14,0,9
three,14,16,14,14
Monday,0,16,18,21
Friday,2,1,19,19
A,26,17,19,17
points,14,21,14,21
played,14,27,14,19
Sunday,10,27,19,11
France,20,14,15,9
But,13,5,13,26
+@,11,5,14,14
when,2,5,18,21
or,26,27,14,14
no,22,27,14,4
new,10,25,14,14
Britain,9,30,0,12
under,15,27,14,21
NEW,18,19,15,18
New,18,8,30,18
people,14,27,14,12
We,12,27,14,12
we,14,6,14,21
In,4,19,3,3
Spain,20,30,12,9
about,3,25,26,26
market,10,27,27,22
RESULTS,15,27,14,19
South,18,8,8,15
YORK,30,14,28,13
England,20,30,0,9
',15,17,7,21
could,14,27,7,12
told,9,5,9,8
DIVISION,24,28,19,17
some,14,27,14,21
LONDON,12,30,10,9
time,14,27,14,14
round,15,25,27,19
Saturday,2,27,14,3
Italy,11,30,8,12
more,14,16,6,25
games,22,16,14,25
lost,0,16,18,17
between,3,20,19,19
v,7,26,7,26
Results,15,27,14,14
match,19,25,19,3
other,22,16,18,7
all,3,27,14,25
her,22,21,7,21
than,14,27,14,14
before,14,27,14,19
matches,10,27,18,11
through,13,31,12,30
into,3,31,26,26
division,22,16,26,19
"@,@.@",12,17,19,19
seconds,13,27,14,14
officials,22,27,17,25
official,6,26,14,26
Japan,9,30,0,9
down,4,27,14,12
Sweden,20,30,0,12
shares,26,16,6,7
Minister,8,20,13,14
b,13,5,13,8
week,0,31,18,19
since,3,27,18,25
there,14,27,14,14
day,4,27,14,14
she,13,27,12,12
Pakistan,30,30,0,12
China,9,12,15,9
group,0,16,18,26
home,4,27,14,14
years,2,27,13,7
did,5,5,18,8
Russia,11,30,0,12
n't,13,27,12,19
Newsroom,7,15,5,22
five,19,27,14,12
@-@-@-@,13,5,13,7
win,9,16,18,21
only,23,21,9,14
him,14,27,14,14
made,15,6,18,25
company,22,16,19,21
September,23,16,14,14
four,22,16,14,19
