word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
<pad>,0,11,20,13
<unk>,1,10,2,22
<s>,23,24,0,1
</s>,23,12,3,1
?,0,0,9,3
the,4,18,15,16
What,22,1,6,19
is,6,14,7,7
of,11,9,1,1
in,18,18,16,9
a,11,12,6,24
``,22,19,1,19
How,7,21,7,7
's,20,9,14,15
was,20,23,11,0
to,22,7,22,19
Who,21,17,14,8
",",23,3,16,19
for,11,16,15,21
are,6,21,9,7
and,22,14,7,10
did,6,6,5,7
does,12,12,24,12
many,20,13,24,13
do,22,1,7,1
on,9,7,17,3
Where,9,7,19,23
name,19,19,15,0
I,23,1,7,5
first,15,4,10,15
can,3,5,22,16
you,22,12,1,7
The,16,9,10,0
from,3,5,3,7
When,20,13,18,13
.,22,12,3,21
country,9,7,4,9
U.S.,18,10,8,15
by,19,23,15,17
what,15,7,20,14
that,15,21,2,17
most,15,9,16,15
have,6,24,21,16
with,15,23,15,0
an,12,14,7,1
has,10,23,2,15
as,17,4,15,18
world,10,2,17,9
Which,19,23,15,17
Why,7,5,7,5
city,9,7,4,23
there,7,0,11,12
Name,19,4,15,17
it,6,14,5,20
be,20,21,17,7
find,4,5,22,3
were,10,23,6,2
people,13,21,21,5
get,3,5,1,5
at,16,6,12,17
called,15,4,16,17
his,0,19,17,0
state,9,7,20,9
year,20,13,24,13
largest,4,18,19,15
American,13,9,11,20
mean,7,22,24,5
two,10,10,17,15
made,19,6,12,0
fear,15,6,15,17
In,2,15,18,20
between,5,21,7,7
long,20,13,10,13
its,15,4,15,15
when,12,5,7,5
much,20,8,18,13
',12,5,9,21
used,14,18,12,24
:,21,19,23,8
origin,7,5,7,7
movie,15,11,12,21
who,19,17,15,0
word,22,12,0,6
about,22,5,7,5
film,15,12,12,24
famous,17,19,14,8
company,8,17,14,8
kind,15,12,15,6
TV,19,8,15,0
known,15,23,16,17
make,12,0,6,11
best,19,23,15,17
take,6,2,10,13
New,16,16,19,15
President,8,17,11,8
one,10,15,15,15
your,11,14,6,6
World,10,18,16,15
